Timestamp; Azione; Valore; Tempo di esecuzione (ms)
1695028678924;Avvio esperimento 3 ;;0
1695028682254;Fine riproduzione del testo: Le opzioni per la lista genere sono;;325
1695028684453;Fine riproduzione del testo: Vuoi selezionare Uomo ?;;3374
1695028686516;Esecuzione comando yes per confermare il valore Uomo della select Uomo;yes;2063
1695028690901;Fine riproduzione del testo: Le opzioni per la lista regione sono;;1409
1695028693113;Fine riproduzione del testo: Vuoi selezionare Abruzzo ?;;3190
1695028695131;Esecuzione comando no per non confermare il valore Abruzzo della select Abruzzo;no;2018
1695028697694;Fine riproduzione del testo: Vuoi selezionare Basilicata ?;;364
1695028699768;Esecuzione comando no per non confermare il valore Basilicata della select Basilicata;no;2074
1695028702211;Fine riproduzione del testo: Vuoi selezionare Calabria ?;;385
1695028706574;Fine riproduzione del testo: Vuoi selezionare Campania ?;;2250
1695028708659;Esecuzione comando no per non confermare il valore Campania della select Campania;no;2085
1695028711463;Fine riproduzione del testo: Vuoi selezionare Emilia Romagna ?;;394
1695028713562;Esecuzione comando yes per confermare il valore Emilia Romagna della select Emilia Romagna;yes;2099
1695028719253;Fine riproduzione del testo: Le opzioni per la lista provincia sono;;2658
1695028721803;Fine riproduzione del testo: Vuoi selezionare Agrigento ?;;3411
1695028726857;Esecuzione comando no per non confermare il valore Agrigento della select Agrigento;no;5054
1695028729244;Fine riproduzione del testo: Vuoi selezionare Alessandria ?;;213
1695028731264;Esecuzione comando no per non confermare il valore Alessandria della select Alessandria;no;2020
1695028733434;Fine riproduzione del testo: Vuoi selezionare Ancona ?;;216
1695028735517;Esecuzione comando no per non confermare il valore Ancona della select Ancona;no;2083
1695028737753;Fine riproduzione del testo: Vuoi selezionare Aosta ?;;362
1695028739806;Esecuzione comando no per non confermare il valore Aosta della select Aosta;no;2053
1695028742151;Fine riproduzione del testo: Vuoi selezionare L'Aquila ?;;369
1695028744186;Esecuzione comando no per non confermare il valore L'Aquila della select L'Aquila;no;2035
1695028746384;Fine riproduzione del testo: Vuoi selezionare Arezzo ?;;225
1695028748428;Esecuzione comando no per non confermare il valore Arezzo della select Arezzo;no;2044
1695028751073;Fine riproduzione del testo: Vuoi selezionare Ascoli Piceno ?;;247
1695028753132;Esecuzione comando no per non confermare il valore Ascoli Piceno della select Ascoli Piceno;no;2059
1695028755321;Fine riproduzione del testo: Vuoi selezionare Asti ?;;353
1695028757350;Esecuzione comando no per non confermare il valore Asti della select Asti;no;2029
1695028759743;Fine riproduzione del testo: Vuoi selezionare Avellino ?;;379
1695028761770;Esecuzione comando no per non confermare il valore Avellino della select Avellino;no;2027
1695028763824;Fine riproduzione del testo: Vuoi selezionare Bari ?;;263
1695028765906;Esecuzione comando no per non confermare il valore Bari della select Bari;no;2082
1695028769083;Fine riproduzione del testo: Vuoi selezionare Barletta Andria Trani ?;;224
1695028771162;Esecuzione comando no per non confermare il valore Barletta Andria Trani della select Barletta Andria Trani;no;2079
1695028773364;Fine riproduzione del testo: Vuoi selezionare Belluno ?;;230
1695028775891;Esecuzione comando no per non confermare il valore Belluno della select Belluno;no;2527
1695028778283;Fine riproduzione del testo: Vuoi selezionare Benevento ?;;253
1695028780385;Esecuzione comando no per non confermare il valore Benevento della select Benevento;no;2102
1695028782643;Fine riproduzione del testo: Vuoi selezionare Bergamo ?;;241
1695028784678;Esecuzione comando no per non confermare il valore Bergamo della select Bergamo;no;2035
1695028786793;Fine riproduzione del testo: Vuoi selezionare Biella ?;;241
1695028788905;Esecuzione comando no per non confermare il valore Biella della select Biella;no;2112
1695028791054;Fine riproduzione del testo: Vuoi selezionare Bologna ?;;149
1695028793081;Esecuzione comando yes per confermare il valore Bologna della select Bologna;yes;2027
1695028794865;Fine esperimento 3 ;;115941
