Timestamp; Azione;Valore; Tempo di esecuzione (ms)
1,69409E+12;Avvio esperimento 3 ;;0
1,69409E+12;Esecuzione comando yes per confermare il valore Uomo della select Uomo;yes;7401
1,69409E+12;Esecuzione comando no per non confermare il valore Abruzzo della select Abruzzo;no;2926
1,69409E+12;Esecuzione comando no per non confermare il valore Basilicata della select Basilicata;no;6730
1,69409E+12;Esecuzione comando no per non confermare il valore Campania della select Campania;no;4906
1,69409E+12;Esecuzione comando no per non confermare il valore Emilia Romagna della select Emilia Romagna;no;9146
1,69409E+12;Esecuzione comando no per non confermare il valore Friuli Venezia Giulia della select Friuli Venezia Giulia;no;2251
1,69409E+12;Esecuzione comando no per non confermare il valore Lazio della select Lazio;no;6345
1,69409E+12;Esecuzione comando no per non confermare il valore Liguria della select Liguria;no;5216
1,69409E+12;Esecuzione comando no per non confermare il valore Lombardia della select Lombardia;no;2501
1,69409E+12;Esecuzione comando no per non confermare il valore Marche della select Marche;no;2170
1,69409E+12;Esecuzione comando no per non confermare il valore Molise della select Molise;no;2745
1,69409E+12;Esecuzione comando no per non confermare il valore Piemonte della select Piemonte;no;2311
1,69409E+12;Esecuzione comando no per non confermare il valore Puglia della select Puglia;no;6729
1,69409E+12;Esecuzione comando yes per confermare il valore Sardegna della select Sardegna;yes;5332
1,69409E+12;Fine esperimento 3 ;;125957
