Timestamp; Azione;Valore; Tempo di esecuzione (ms)
1,69E+12;Avvio esperimento 4;;0
1,69E+12;Inserimento del valore mario nel campo nome;mario;2778
1,69E+12;Inserimento del valore rossi nel campo cognome;rossi;2635
1,69E+12;Inserimento del valore mars nel campo soprannome;mars;2683
1,69E+12;Inserimento del valore mariorossi@gmail.com nel campo email;mariorossi@gmail.com;4575
1,69E+12;Inserimento del valore 31 nel campo età;31;3045
1,69E+12;Selezione del valore cagliari nella select provincia;cagliari;2678
1,69E+12;Selezione del valore uomo nella select gender;uomo;2309
1,69E+12;Inserimento del valore asia argento nel campo attorepreferito;asia argento;2995
1,69E+12;Fine esperimento 4 ;;37362
