Timestamp; Azione; Valore; Tempo di esecuzione (ms)
1694597252064;Avvio esperimento 3 ;;0
1694597255542;Fine riproduzione del testo: Le opzioni per la lista genere sono;;449
1694597257531;Fine riproduzione del testo: Vuoi selezionare Uomo ?;;3179
1694597259588;Esecuzione comando no per non confermare il valore Uomo della select Uomo;no;2057
1694597261591;Fine riproduzione del testo: Vuoi selezionare Donna ?;;171
1694597263636;Esecuzione comando yes per confermare il valore Donna della select Donna;yes;2045
1694597271111;Fine riproduzione del testo: Le opzioni per la lista regione sono;;4504
1694597273271;Fine riproduzione del testo: Vuoi selezionare Abruzzo ?;;3132
1694597276087;Esecuzione comando no per non confermare il valore Abruzzo della select Abruzzo;no;2816
1694597278668;Fine riproduzione del testo: Vuoi selezionare Basilicata ?;;391
1694597280889;Esecuzione comando no per non confermare il valore Basilicata della select Basilicata;no;2221
1694597283090;Fine riproduzione del testo: Vuoi selezionare Calabria ?;;145
1694597285142;Esecuzione comando no per non confermare il valore Calabria della select Calabria;no;2052
1694597287461;Fine riproduzione del testo: Vuoi selezionare Campania ?;;204
1694597289486;Esecuzione comando no per non confermare il valore Campania della select Campania;no;2025
1694597292281;Fine riproduzione del testo: Vuoi selezionare Emilia Romagna ?;;384
1694597294336;Esecuzione comando no per non confermare il valore Emilia Romagna della select Emilia Romagna;no;2055
1694597297750;Fine riproduzione del testo: Vuoi selezionare Friuli Venezia Giulia ?;;407
1694597299805;Esecuzione comando no per non confermare il valore Friuli Venezia Giulia della select Friuli Venezia Giulia;no;2055
1694597301970;Fine riproduzione del testo: Vuoi selezionare Lazio ?;;211
1694597304034;Esecuzione comando no per non confermare il valore Lazio della select Lazio;no;2064
1694597306452;Fine riproduzione del testo: Vuoi selezionare Liguria ?;;432
1694597308583;Esecuzione comando no per non confermare il valore Liguria della select Liguria;no;2131
1694597310912;Fine riproduzione del testo: Vuoi selezionare Lombardia ?;;215
1694597312994;Esecuzione comando yes per confermare il valore Lombardia della select Lombardia;yes;2082
1694597319881;Fine riproduzione del testo: Le opzioni per la lista provincia sono;;3837
1694597322272;Fine riproduzione del testo: Vuoi selezionare Agrigento ?;;3269
1694597324429;Esecuzione comando no per non confermare il valore Agrigento della select Agrigento;no;2157
1694597326751;Fine riproduzione del testo: Vuoi selezionare Alessandria ?;;143
1694597328922;Esecuzione comando no per non confermare il valore Alessandria della select Alessandria;no;2171
1694597331102;Fine riproduzione del testo: Vuoi selezionare Ancona ?;;224
1694597333159;Esecuzione comando no per non confermare il valore Ancona della select Ancona;no;2056
1694597335229;Fine riproduzione del testo: Vuoi selezionare Aosta ?;;181
1694597337258;Esecuzione comando no per non confermare il valore Aosta della select Aosta;no;2029
1694597339391;Fine riproduzione del testo: Vuoi selezionare L'Aquila ?;;158
1694597341438;Esecuzione comando no per non confermare il valore L'Aquila della select L'Aquila;no;2047
1694597343612;Fine riproduzione del testo: Vuoi selezionare Arezzo ?;;202
1694597345670;Esecuzione comando no per non confermare il valore Arezzo della select Arezzo;no;2058
1694597348231;Fine riproduzione del testo: Vuoi selezionare Ascoli Piceno ?;;171
1694597350297;Esecuzione comando no per non confermare il valore Ascoli Piceno della select Ascoli Piceno;no;2066
1694597352382;Fine riproduzione del testo: Vuoi selezionare Asti ?;;246
1694597357426;Esecuzione comando no per non confermare il valore Asti della select Asti;no;5044
1694597359791;Fine riproduzione del testo: Vuoi selezionare Avellino ?;;349
1694597361841;Esecuzione comando no per non confermare il valore Avellino della select Avellino;no;2050
1694597363841;Fine riproduzione del testo: Vuoi selezionare Bari ?;;207
1694597365878;Esecuzione comando no per non confermare il valore Bari della select Bari;no;2036
1694597368902;Fine riproduzione del testo: Vuoi selezionare Barletta Andria Trani ?;;67
1694597370941;Esecuzione comando no per non confermare il valore Barletta Andria Trani della select Barletta Andria Trani;no;2039
1694597373289;Fine riproduzione del testo: Vuoi selezionare Belluno ?;;374
1694597375473;Esecuzione comando no per non confermare il valore Belluno della select Belluno;no;2184
1694597377992;Fine riproduzione del testo: Vuoi selezionare Benevento ?;;379
1694597380055;Esecuzione comando no per non confermare il valore Benevento della select Benevento;no;2063
1694597382221;Fine riproduzione del testo: Vuoi selezionare Bergamo ?;;151
1694597384249;Esecuzione comando no per non confermare il valore Bergamo della select Bergamo;no;2028
1694597386291;Fine riproduzione del testo: Vuoi selezionare Biella ?;;170
1694597388317;Esecuzione comando no per non confermare il valore Biella della select Biella;no;2026
1694597390672;Fine riproduzione del testo: Vuoi selezionare Bologna ?;;365
1694597394924;Esecuzione comando no per non confermare il valore Bologna della select Bologna;no;4252
1694597397360;Fine riproduzione del testo: Vuoi selezionare Bolzano ?;;382
1694597399613;Esecuzione comando no per non confermare il valore Bolzano della select Bolzano;no;2253
1694597401868;Fine riproduzione del testo: Vuoi selezionare Brescia ?;;307
1694597403993;Esecuzione comando yes per confermare il valore Brescia della select Brescia;yes;2125
1694597407945;Fine esperimento 3 ;;155881
