Timestamp; Azione; Valore; Tempo di esecuzione (ms)
1695022151859;Avvio esperimento 3 ;;0
1695022156939;Inserimento del valore antonio nel campo nome;antonio;5079
1695022167349;Inserimento del valore esposito nel campo cognome;esposito;3083
1695022174040;Inserimento del valore tony nel campo soprannome;tony;3271
1695022182753;Inserimento del valore tony@gmail.com nel campo email;tony@gmail.com;5898
1695022190770;Inserimento del valore 63 nel campo età;63;3880
1695022197926;Fine riproduzione del testo: Le opzioni per la lista provincia sono;;4095
1695022200511;Fine riproduzione del testo: Vuoi selezionare Agrigento ?;;3479
1695022202609;Esecuzione comando no per non confermare il valore Agrigento della select Agrigento;no;2098
1695022205020;Fine riproduzione del testo: Vuoi selezionare Alessandria ?;;236
1695022207043;Esecuzione comando no per non confermare il valore Alessandria della select Alessandria;no;2023
1695022209218;Fine riproduzione del testo: Vuoi selezionare Ancona ?;;225
1695022211312;Esecuzione comando no per non confermare il valore Ancona della select Ancona;no;2094
1695022213422;Fine riproduzione del testo: Vuoi selezionare Aosta ?;;234
1695022215464;Esecuzione comando no per non confermare il valore Aosta della select Aosta;no;2042
1695022217679;Fine riproduzione del testo: Vuoi selezionare L'Aquila ?;;240
1695022219720;Esecuzione comando no per non confermare il valore L'Aquila della select L'Aquila;no;2041
1695022222061;Fine riproduzione del testo: Vuoi selezionare Arezzo ?;;367
1695022224093;Esecuzione comando no per non confermare il valore Arezzo della select Arezzo;no;2032
1695022226741;Fine riproduzione del testo: Vuoi selezionare Ascoli Piceno ?;;254
1695022228832;Esecuzione comando no per non confermare il valore Ascoli Piceno della select Ascoli Piceno;no;2091
1695022230841;Fine riproduzione del testo: Vuoi selezionare Asti ?;;176
1695022232887;Esecuzione comando no per non confermare il valore Asti della select Asti;no;2046
1695022235152;Fine riproduzione del testo: Vuoi selezionare Avellino ?;;245
1695022237241;Esecuzione comando no per non confermare il valore Avellino della select Avellino;no;2089
1695022239261;Fine riproduzione del testo: Vuoi selezionare Bari ?;;226
1695022241309;Esecuzione comando no per non confermare il valore Bari della select Bari;no;2048
1695022244460;Fine riproduzione del testo: Vuoi selezionare Barletta Andria Trani ?;;198
1695022246492;Esecuzione comando no per non confermare il valore Barletta Andria Trani della select Barletta Andria Trani;no;2032
1695022248840;Fine riproduzione del testo: Vuoi selezionare Belluno ?;;375
1695022250872;Esecuzione comando no per non confermare il valore Belluno della select Belluno;no;2032
1695022253250;Fine riproduzione del testo: Vuoi selezionare Benevento ?;;242
1695022255293;Esecuzione comando no per non confermare il valore Benevento della select Benevento;no;2043
1695022257480;Fine riproduzione del testo: Vuoi selezionare Bergamo ?;;173
1695022264195;Esecuzione comando no per non confermare il valore Bergamo della select Bergamo;no;6715
1695022266320;Fine riproduzione del testo: Vuoi selezionare Biella ?;;226
1695022268593;Esecuzione comando no per non confermare il valore Biella della select Biella;no;2273
1695022270751;Fine riproduzione del testo: Vuoi selezionare Bologna ?;;167
1695022272781;Esecuzione comando yes per confermare il valore Bologna della select Bologna;yes;2030
1695022279071;Fine riproduzione del testo: Le opzioni per la lista genere sono;;3290
1695022281241;Fine riproduzione del testo: Vuoi selezionare Uomo ?;;3336
1695022283295;Esecuzione comando yes per confermare il valore Uomo della select Uomo;yes;2054
1695022290630;Inserimento del valore monica bellucci nel campo attorepreferito;monica bellucci;4445
1695022292845;Fine esperimento 3 ;;140985
