Timestamp; Azione; Valore; Tempo di esecuzione (ms)
1695022023616;Avvio esperimento 3 ;;0
1695022027106;Fine riproduzione del testo: Le opzioni per la lista genere sono;;486
1695022029255;Fine riproduzione del testo: Vuoi selezionare Uomo ?;;3324
1695022031339;Esecuzione comando yes per confermare il valore Uomo della select Uomo;yes;2084
1695022038884;Fine riproduzione del testo: Le opzioni per la lista regione sono;;4570
1695022041005;Fine riproduzione del testo: Vuoi selezionare Abruzzo ?;;3105
1695022043079;Esecuzione comando no per non confermare il valore Abruzzo della select Abruzzo;no;2074
1695022045445;Fine riproduzione del testo: Vuoi selezionare Basilicata ?;;173
1695022047466;Esecuzione comando no per non confermare il valore Basilicata della select Basilicata;no;2021
1695022049745;Fine riproduzione del testo: Vuoi selezionare Calabria ?;;223
1695022051825;Esecuzione comando no per non confermare il valore Calabria della select Calabria;no;2080
1695022054165;Fine riproduzione del testo: Vuoi selezionare Campania ?;;229
1695022056223;Esecuzione comando no per non confermare il valore Campania della select Campania;no;2058
1695022058805;Fine riproduzione del testo: Vuoi selezionare Emilia Romagna ?;;166
1695022060863;Esecuzione comando yes per confermare il valore Emilia Romagna della select Emilia Romagna;yes;2058
1695022067331;Fine riproduzione del testo: Le opzioni per la lista provincia sono;;3422
1695022069691;Fine riproduzione del testo: Vuoi selezionare Agrigento ?;;3230
1695022071754;Esecuzione comando no per non confermare il valore Agrigento della select Agrigento;no;2063
1695022074171;Fine riproduzione del testo: Vuoi selezionare Alessandria ?;;242
1695022076255;Esecuzione comando no per non confermare il valore Alessandria della select Alessandria;no;2084
1695022078441;Fine riproduzione del testo: Vuoi selezionare Ancona ?;;233
1695022080450;Esecuzione comando no per non confermare il valore Ancona della select Ancona;no;2009
1695022082561;Fine riproduzione del testo: Vuoi selezionare Aosta ?;;220
1695022084619;Esecuzione comando no per non confermare il valore Aosta della select Aosta;no;2058
1695022086811;Fine riproduzione del testo: Vuoi selezionare L'Aquila ?;;217
1695022088870;Esecuzione comando no per non confermare il valore L'Aquila della select L'Aquila;no;2059
1695022091080;Fine riproduzione del testo: Vuoi selezionare Arezzo ?;;234
1695022097592;Esecuzione comando no per non confermare il valore Arezzo della select Arezzo;no;6512
1695022100381;Fine riproduzione del testo: Vuoi selezionare Ascoli Piceno ?;;390
1695022102599;Esecuzione comando no per non confermare il valore Ascoli Piceno della select Ascoli Piceno;no;2218
1695022104641;Fine riproduzione del testo: Vuoi selezionare Asti ?;;209
1695022106767;Esecuzione comando no per non confermare il valore Asti della select Asti;no;2126
1695022109000;Fine riproduzione del testo: Vuoi selezionare Avellino ?;;219
1695022111231;Esecuzione comando no per non confermare il valore Avellino della select Avellino;no;2231
1695022113169;Fine riproduzione del testo: Vuoi selezionare Bari ?;;146
1695022115430;Esecuzione comando no per non confermare il valore Bari della select Bari;no;2261
1695022118621;Fine riproduzione del testo: Vuoi selezionare Barletta Andria Trani ?;;231
1695022120677;Esecuzione comando no per non confermare il valore Barletta Andria Trani della select Barletta Andria Trani;no;2056
1695022123054;Fine riproduzione del testo: Vuoi selezionare Belluno ?;;411
1695022125087;Esecuzione comando no per non confermare il valore Belluno della select Belluno;no;2033
1695022127395;Fine riproduzione del testo: Vuoi selezionare Benevento ?;;176
1695022129524;Esecuzione comando no per non confermare il valore Benevento della select Benevento;no;2129
1695022131745;Fine riproduzione del testo: Vuoi selezionare Bergamo ?;;209
1695022134128;Esecuzione comando no per non confermare il valore Bergamo della select Bergamo;no;2383
1695022136215;Fine riproduzione del testo: Vuoi selezionare Biella ?;;211
1695022138375;Esecuzione comando no per non confermare il valore Biella della select Biella;no;2160
1695022140613;Fine riproduzione del testo: Vuoi selezionare Bologna ?;;244
1695022142673;Esecuzione comando yes per confermare il valore Bologna della select Bologna;yes;2060
1695022145411;Fine esperimento 3 ;;121795
