Timestamp; Azione; Valore; Tempo di esecuzione (ms)
1694513776880;Avvio esperimento 3 ;;0
1694513779900;Inserimento del valore sara nel campo nome;sara;3019
1694513785605;Inserimento del valore verdi nel campo cognome;verdi;3024
1694513792159;Fine riproduzione del testo: Le opzioni per la lista genere sono;;3550
1694513794386;Fine riproduzione del testo: Vuoi selezionare Uomo ?;;3403
1694513796876;Esecuzione comando no per non confermare il valore Uomo della select Uomo;no;2490
1694513799088;Fine riproduzione del testo: Vuoi selezionare Donna ?;;374
1694513801271;Esecuzione comando yes per confermare il valore Donna della select Donna;yes;2183
1694513817264;Inserimento del valore sono una ragazza che ama le feste mi piace la fotografia e ho un gatto di nome teo nel campo descrizione;sono una ragazza che ama le feste mi piace la fotografia e ho un gatto di nome teo;9674
1694513820202;Fine esperimento 3 ;;43322
