Timestamp; Azione; Valore; Tempo di esecuzione (ms)
1694513834792;Avvio esperimento 3 ;;0
1694513838222;Fine riproduzione del testo: Le opzioni per la lista genere sono;;425
1694513840251;Fine riproduzione del testo: Vuoi selezionare Uomo ?;;3200
1694513842335;Esecuzione comando no per non confermare il valore Uomo della select Uomo;no;2084
1694513844412;Fine riproduzione del testo: Vuoi selezionare Donna ?;;242
1694513846524;Esecuzione comando yes per confermare il valore Donna della select Donna;yes;2112
1694513853382;Fine riproduzione del testo: Le opzioni per la lista regione sono;;3886
1694513855741;Fine riproduzione del testo: Vuoi selezionare Abruzzo ?;;3341
1694513857841;Esecuzione comando no per non confermare il valore Abruzzo della select Abruzzo;no;2100
1694513860401;Fine riproduzione del testo: Vuoi selezionare Basilicata ?;;361
1694513862462;Esecuzione comando no per non confermare il valore Basilicata della select Basilicata;no;2061
1694513864857;Fine riproduzione del testo: Vuoi selezionare Calabria ?;;333
1694513866939;Esecuzione comando no per non confermare il valore Calabria della select Calabria;no;2082
1694513869312;Fine riproduzione del testo: Vuoi selezionare Campania ?;;254
1694513871347;Esecuzione comando no per non confermare il valore Campania della select Campania;no;2035
1694513874131;Fine riproduzione del testo: Vuoi selezionare Emilia Romagna ?;;369
1694513876189;Esecuzione comando no per non confermare il valore Emilia Romagna della select Emilia Romagna;no;2058
1694513879389;Fine riproduzione del testo: Vuoi selezionare Friuli Venezia Giulia ?;;207
1694513886918;Esecuzione comando no per non confermare il valore Friuli Venezia Giulia della select Friuli Venezia Giulia;no;7529
1694513889152;Fine riproduzione del testo: Vuoi selezionare Lazio ?;;277
1694513891719;Esecuzione comando no per non confermare il valore Lazio della select Lazio;no;2567
1694513893941;Fine riproduzione del testo: Vuoi selezionare Liguria ?;;230
1694513896498;Esecuzione comando no per non confermare il valore Liguria della select Liguria;no;2557
1694513898851;Fine riproduzione del testo: Vuoi selezionare Lombardia ?;;234
1694513900973;Esecuzione comando no per non confermare il valore Lombardia della select Lombardia;no;2122
1694513903191;Fine riproduzione del testo: Vuoi selezionare Marche ?;;277
1694513905530;Esecuzione comando no per non confermare il valore Marche della select Marche;no;2339
1694513907750;Fine riproduzione del testo: Vuoi selezionare Molise ?;;243
1694513910482;Esecuzione comando no per non confermare il valore Molise della select Molise;no;2732
1694513912857;Fine riproduzione del testo: Vuoi selezionare Piemonte ?;;283
1694513914904;Esecuzione comando yes per confermare il valore Piemonte della select Piemonte;yes;2047
1694513923282;Fine riproduzione del testo: Le opzioni per la lista provincia sono;;5331
1694513925852;Fine riproduzione del testo: Vuoi selezionare Agrigento ?;;3437
1694513928016;Esecuzione comando no per non confermare il valore Agrigento della select Agrigento;no;2164
1694513930412;Fine riproduzione del testo: Vuoi selezionare Alessandria ?;;224
1694513934832;Esecuzione comando no per non confermare il valore Alessandria della select Alessandria;no;4420
1694513937150;Fine riproduzione del testo: Vuoi selezionare Ancona ?;;363
1694513939632;Esecuzione comando no per non confermare il valore Ancona della select Ancona;no;2482
1694513941862;Fine riproduzione del testo: Vuoi selezionare Aosta ?;;352
1694513943992;Esecuzione comando no per non confermare il valore Aosta della select Aosta;no;2130
1694513946202;Fine riproduzione del testo: Vuoi selezionare L'Aquila ?;;236
1694513948354;Esecuzione comando no per non confermare il valore L'Aquila della select L'Aquila;no;2152
1694513950472;Fine riproduzione del testo: Vuoi selezionare Arezzo ?;;143
1694513952656;Esecuzione comando no per non confermare il valore Arezzo della select Arezzo;no;2184
1694513955454;Fine riproduzione del testo: Vuoi selezionare Ascoli Piceno ?;;398
1694513957476;Esecuzione comando no per non confermare il valore Ascoli Piceno della select Ascoli Piceno;no;2022
1694513959555;Fine riproduzione del testo: Vuoi selezionare Asti ?;;245
1694513961653;Esecuzione comando no per non confermare il valore Asti della select Asti;no;2098
1694513963811;Fine riproduzione del testo: Vuoi selezionare Avellino ?;;148
1694513966254;Esecuzione comando no per non confermare il valore Avellino della select Avellino;no;2443
1694513968324;Fine riproduzione del testo: Vuoi selezionare Bari ?;;280
1694513970657;Esecuzione comando no per non confermare il valore Bari della select Bari;no;2333
1694513973872;Fine riproduzione del testo: Vuoi selezionare Barletta Andria Trani ?;;260
1694513976024;Esecuzione comando no per non confermare il valore Barletta Andria Trani della select Barletta Andria Trani;no;2152
1694513978254;Fine riproduzione del testo: Vuoi selezionare Belluno ?;;251
1694513980510;Esecuzione comando no per non confermare il valore Belluno della select Belluno;no;2256
1694513982894;Fine riproduzione del testo: Vuoi selezionare Benevento ?;;249
1694513985028;Esecuzione comando no per non confermare il valore Benevento della select Benevento;no;2134
1694513987214;Fine riproduzione del testo: Vuoi selezionare Bergamo ?;;166
1694513989365;Esecuzione comando no per non confermare il valore Bergamo della select Bergamo;no;2151
1694513991484;Fine riproduzione del testo: Vuoi selezionare Biella ?;;247
1694513993766;Esecuzione comando yes per confermare il valore Biella della select Biella;yes;2282
1694513996908;Fine esperimento 3 ;;162116
