Timestamp; Azione; Valore; Tempo di esecuzione (ms)
1694589957929;Avvio esperimento 3 ;;0
1694589960442;Inserimento del valore sara nel campo nome;sara;2513
1694589965765;Inserimento del valore verdi nel campo cognome;verdi;2807
1694589972007;Inserimento del valore saretta nel campo soprannome;saretta;3165
1694589979434;Inserimento del valore saretta@gmail.com nel campo email;saretta@gmail.com;4944
1694589989154;Inserimento del valore 18 nel campo età;18;2999
1694589996915;Fine riproduzione del testo: Le opzioni per la lista provincia sono;;4696
1694589999304;Fine riproduzione del testo: Vuoi selezionare Agrigento ?;;3282
1694590001357;Esecuzione comando no per non confermare il valore Agrigento della select Agrigento;no;2053
1694590003864;Fine riproduzione del testo: Vuoi selezionare Alessandria ?;;333
1694590005919;Esecuzione comando no per non confermare il valore Alessandria della select Alessandria;no;2055
1694590008044;Fine riproduzione del testo: Vuoi selezionare Ancona ?;;165
1694590010095;Esecuzione comando no per non confermare il valore Ancona della select Ancona;no;2051
1694590012214;Fine riproduzione del testo: Vuoi selezionare Aosta ?;;242
1694590014284;Esecuzione comando no per non confermare il valore Aosta della select Aosta;no;2070
1694590016451;Fine riproduzione del testo: Vuoi selezionare L'Aquila ?;;192
1694590018494;Esecuzione comando no per non confermare il valore L'Aquila della select L'Aquila;no;2043
1694590020854;Fine riproduzione del testo: Vuoi selezionare Arezzo ?;;388
1694590022883;Esecuzione comando no per non confermare il valore Arezzo della select Arezzo;no;2029
1694590025604;Fine riproduzione del testo: Vuoi selezionare Ascoli Piceno ?;;322
1694590027643;Esecuzione comando no per non confermare il valore Ascoli Piceno della select Ascoli Piceno;no;2039
1694590029624;Fine riproduzione del testo: Vuoi selezionare Asti ?;;150
1694590031706;Esecuzione comando no per non confermare il valore Asti della select Asti;no;2082
1694590033894;Fine riproduzione del testo: Vuoi selezionare Avellino ?;;176
1694590035933;Esecuzione comando no per non confermare il valore Avellino della select Avellino;no;2039
1694590038104;Fine riproduzione del testo: Vuoi selezionare Bari ?;;378
1694590040201;Esecuzione comando no per non confermare il valore Bari della select Bari;no;2097
1694590043384;Fine riproduzione del testo: Vuoi selezionare Barletta Andria Trani ?;;223
1694590048201;Esecuzione comando no per non confermare il valore Barletta Andria Trani della select Barletta Andria Trani;no;4817
1694590050394;Fine riproduzione del testo: Vuoi selezionare Belluno ?;;214
1694590052653;Esecuzione comando no per non confermare il valore Belluno della select Belluno;no;2259
1694590055173;Fine riproduzione del testo: Vuoi selezionare Benevento ?;;384
1694590057259;Esecuzione comando no per non confermare il valore Benevento della select Benevento;no;2086
1694590059654;Fine riproduzione del testo: Vuoi selezionare Bergamo ?;;375
1694590061911;Esecuzione comando no per non confermare il valore Bergamo della select Bergamo;no;2257
1694590063934;Fine riproduzione del testo: Vuoi selezionare Biella ?;;149
1694590066070;Esecuzione comando yes per confermare il valore Biella della select Biella;yes;2136
1694590074013;Fine riproduzione del testo: Le opzioni per la lista genere sono;;4951
1694590076173;Fine riproduzione del testo: Vuoi selezionare Uomo ?;;3319
1694590078211;Esecuzione comando no per non confermare il valore Uomo della select Uomo;no;2038
1694590080204;Fine riproduzione del testo: Vuoi selezionare Donna ?;;157
1694590082305;Esecuzione comando yes per confermare il valore Donna della select Donna;yes;2101
1694590089588;Inserimento del valore luca argentero nel campo attorepreferito;luca argentero;4049
1694590093865;Fine esperimento 3 ;;135936
