Timestamp; Azione; Valore; Tempo di esecuzione (ms)
1694589758105;Avvio esperimento 3 ;;0
1694589761628;Fine riproduzione del testo: Le opzioni per la lista genere sono;;519
1694589763797;Fine riproduzione del testo: Vuoi selezionare Uomo ?;;3334
1694589765867;Esecuzione comando no per non confermare il valore Uomo della select Uomo;no;2070
1694589767867;Fine riproduzione del testo: Vuoi selezionare Donna ?;;160
1694589769926;Esecuzione comando yes per confermare il valore Donna della select Donna;yes;2059
1694589776774;Fine riproduzione del testo: Le opzioni per la lista regione sono;;3875
1694589779157;Fine riproduzione del testo: Vuoi selezionare Abruzzo ?;;3365
1694589781200;Esecuzione comando no per non confermare il valore Abruzzo della select Abruzzo;no;2043
1694589783598;Fine riproduzione del testo: Vuoi selezionare Basilicata ?;;201
1694589785656;Esecuzione comando no per non confermare il valore Basilicata della select Basilicata;no;2058
1694589787957;Fine riproduzione del testo: Vuoi selezionare Calabria ?;;241
1694589790003;Esecuzione comando no per non confermare il valore Calabria della select Calabria;no;2046
1694589792485;Fine riproduzione del testo: Vuoi selezionare Campania ?;;372
1694589794549;Esecuzione comando no per non confermare il valore Campania della select Campania;no;2064
1694589797135;Fine riproduzione del testo: Vuoi selezionare Emilia Romagna ?;;177
1694589799191;Esecuzione comando no per non confermare il valore Emilia Romagna della select Emilia Romagna;no;2056
1694589802591;Fine riproduzione del testo: Vuoi selezionare Friuli Venezia Giulia ?;;413
1694589804690;Esecuzione comando no per non confermare il valore Friuli Venezia Giulia della select Friuli Venezia Giulia;no;2099
1694589806758;Fine riproduzione del testo: Vuoi selezionare Lazio ?;;113
1694589808855;Esecuzione comando no per non confermare il valore Lazio della select Lazio;no;2097
1694589811025;Fine riproduzione del testo: Vuoi selezionare Liguria ?;;180
1694589813113;Esecuzione comando no per non confermare il valore Liguria della select Liguria;no;2088
1694589815443;Fine riproduzione del testo: Vuoi selezionare Lombardia ?;;219
1694589817521;Esecuzione comando no per non confermare il valore Lombardia della select Lombardia;no;2078
1694589819843;Fine riproduzione del testo: Vuoi selezionare Marche ?;;392
1694589821886;Esecuzione comando no per non confermare il valore Marche della select Marche;no;2043
1694589824025;Fine riproduzione del testo: Vuoi selezionare Molise ?;;158
1694589826055;Esecuzione comando no per non confermare il valore Molise della select Molise;no;2030
1694589828386;Fine riproduzione del testo: Vuoi selezionare Piemonte ?;;260
1694589833447;Esecuzione comando no per non confermare il valore Piemonte della select Piemonte;no;5061
1694589835595;Fine riproduzione del testo: Vuoi selezionare Puglia ?;;213
1694589838040;Esecuzione comando yes per confermare il valore Puglia della select Puglia;yes;2445
1694589861095;Fine riproduzione del testo: Le opzioni per la lista provincia sono;;19991
1694589863574;Fine riproduzione del testo: Vuoi selezionare Agrigento ?;;3371
1694589868697;Esecuzione comando no per non confermare il valore Agrigento della select Agrigento;no;5123
1694589871266;Fine riproduzione del testo: Vuoi selezionare Alessandria ?;;389
1694589873650;Esecuzione comando no per non confermare il valore Alessandria della select Alessandria;no;2384
1694589875822;Fine riproduzione del testo: Vuoi selezionare Ancona ?;;219
1694589878006;Esecuzione comando no per non confermare il valore Ancona della select Ancona;no;2184
1694589880043;Fine riproduzione del testo: Vuoi selezionare Aosta ?;;143
1694589882523;Esecuzione comando no per non confermare il valore Aosta della select Aosta;no;2480
1694589884726;Fine riproduzione del testo: Vuoi selezionare L'Aquila ?;;223
1694589886876;Esecuzione comando no per non confermare il valore L'Aquila della select L'Aquila;no;2150
1694589889225;Fine riproduzione del testo: Vuoi selezionare Arezzo ?;;379
1694589891279;Esecuzione comando no per non confermare il valore Arezzo della select Arezzo;no;2054
1694589894056;Fine riproduzione del testo: Vuoi selezionare Ascoli Piceno ?;;381
1694589896106;Esecuzione comando no per non confermare il valore Ascoli Piceno della select Ascoli Piceno;no;2050
1694589898135;Fine riproduzione del testo: Vuoi selezionare Asti ?;;190
1694589900188;Esecuzione comando no per non confermare il valore Asti della select Asti;no;2053
1694589902474;Fine riproduzione del testo: Vuoi selezionare Avellino ?;;266
1694589904534;Esecuzione comando no per non confermare il valore Avellino della select Avellino;no;2060
1694589906573;Fine riproduzione del testo: Vuoi selezionare Bari ?;;248
1694589908629;Esecuzione comando no per non confermare il valore Bari della select Bari;no;2056
1694589911975;Fine riproduzione del testo: Vuoi selezionare Barletta Andria Trani ?;;391
1694589914389;Esecuzione comando no per non confermare il valore Barletta Andria Trani della select Barletta Andria Trani;no;2414
1694589916733;Fine riproduzione del testo: Vuoi selezionare Belluno ?;;367
1694589918769;Esecuzione comando no per non confermare il valore Belluno della select Belluno;no;2036
1694589921073;Fine riproduzione del testo: Vuoi selezionare Benevento ?;;174
1694589923528;Esecuzione comando no per non confermare il valore Benevento della select Benevento;no;2455
1694589925786;Fine riproduzione del testo: Vuoi selezionare Bergamo ?;;244
1694589927813;Esecuzione comando no per non confermare il valore Bergamo della select Bergamo;no;2027
1694589929915;Fine riproduzione del testo: Vuoi selezionare Biella ?;;226
1694589931983;Esecuzione comando yes per confermare il valore Biella della select Biella;yes;2068
1694589938176;Fine esperimento 3 ;;180070
