Timestamp; Azione; Valore; Tempo di esecuzione (ms)
1695025834574;Avvio esperimento 3 ;;0
1695025838104;Fine riproduzione del testo: Le opzioni per la lista genere sono;;526
1695025840204;Fine riproduzione del testo: Vuoi selezionare Uomo ?;;3266
1695025842361;Esecuzione comando yes per confermare il valore Uomo della select Uomo;yes;2157
1695025849570;Fine riproduzione del testo: Le opzioni per la lista regione sono;;4232
1695025851820;Fine riproduzione del testo: Vuoi selezionare Abruzzo ?;;3235
1695025853887;Esecuzione comando no per non confermare il valore Abruzzo della select Abruzzo;no;2067
1695025856297;Fine riproduzione del testo: Vuoi selezionare Basilicata ?;;219
1695025858592;Esecuzione comando no per non confermare il valore Basilicata della select Basilicata;no;2295
1695025860900;Fine riproduzione del testo: Vuoi selezionare Calabria ?;;249
1695025863167;Esecuzione comando no per non confermare il valore Calabria della select Calabria;no;2267
1695025865430;Fine riproduzione del testo: Vuoi selezionare Campania ?;;143
1695025867575;Esecuzione comando no per non confermare il valore Campania della select Campania;no;2145
1695025870210;Fine riproduzione del testo: Vuoi selezionare Emilia Romagna ?;;225
1695025872400;Esecuzione comando yes per confermare il valore Emilia Romagna della select Emilia Romagna;yes;2190
1695025878858;Fine riproduzione del testo: Le opzioni per la lista provincia sono;;3405
1695025881200;Fine riproduzione del testo: Vuoi selezionare Agrigento ?;;3218
1695025883484;Esecuzione comando no per non confermare il valore Agrigento della select Agrigento;no;2284
1695025885798;Fine riproduzione del testo: Vuoi selezionare Alessandria ?;;138
1695025888212;Esecuzione comando no per non confermare il valore Alessandria della select Alessandria;no;2414
1695025890540;Fine riproduzione del testo: Vuoi selezionare Ancona ?;;371
1695025893169;Esecuzione comando no per non confermare il valore Ancona della select Ancona;no;2629
1695025895300;Fine riproduzione del testo: Vuoi selezionare Aosta ?;;237
1695025898004;Esecuzione comando no per non confermare il valore Aosta della select Aosta;no;2704
1695025900220;Fine riproduzione del testo: Vuoi selezionare L'Aquila ?;;245
1695025902357;Esecuzione comando no per non confermare il valore L'Aquila della select L'Aquila;no;2137
1695025904410;Fine riproduzione del testo: Vuoi selezionare Arezzo ?;;75
1695025906967;Esecuzione comando no per non confermare il valore Arezzo della select Arezzo;no;2557
1695025909783;Fine riproduzione del testo: Vuoi selezionare Ascoli Piceno ?;;429
1695025912017;Esecuzione comando no per non confermare il valore Ascoli Piceno della select Ascoli Piceno;no;2234
1695025914223;Fine riproduzione del testo: Vuoi selezionare Asti ?;;375
1695025916265;Esecuzione comando no per non confermare il valore Asti della select Asti;no;2042
1695025918513;Fine riproduzione del testo: Vuoi selezionare Avellino ?;;235
1695025920540;Esecuzione comando no per non confermare il valore Avellino della select Avellino;no;2027
1695025922552;Fine riproduzione del testo: Vuoi selezionare Bari ?;;216
1695025925225;Esecuzione comando no per non confermare il valore Bari della select Bari;no;2673
1695025928585;Fine riproduzione del testo: Vuoi selezionare Barletta Andria Trani ?;;398
1695025931071;Esecuzione comando no per non confermare il valore Barletta Andria Trani della select Barletta Andria Trani;no;2486
1695025933274;Fine riproduzione del testo: Vuoi selezionare Belluno ?;;227
1695025935524;Esecuzione comando no per non confermare il valore Belluno della select Belluno;no;2250
1695025938024;Fine riproduzione del testo: Vuoi selezionare Benevento ?;;368
1695025940272;Esecuzione comando no per non confermare il valore Benevento della select Benevento;no;2248
1695025942575;Fine riproduzione del testo: Vuoi selezionare Bergamo ?;;291
1695025945021;Esecuzione comando no per non confermare il valore Bergamo della select Bergamo;no;2446
1695025947264;Fine riproduzione del testo: Vuoi selezionare Biella ?;;365
1695025949838;Esecuzione comando no per non confermare il valore Biella della select Biella;no;2574
1695025952054;Fine riproduzione del testo: Vuoi selezionare Bologna ?;;226
1695025954106;Esecuzione comando yes per confermare il valore Bologna della select Bologna;yes;2052
1695025957287;Fine esperimento 3 ;;122713
