Timestamp; Azione; Valore; Tempo di esecuzione (ms)
1694507449987;Avvio esperimento 3 ;;0
1694507453419;Fine riproduzione del testo: Le opzioni per la lista genere sono;;428
1694507455518;Fine riproduzione del testo: Vuoi selezionare Uomo ?;;3264
1694507457596;Esecuzione comando yes per confermare il valore Uomo della select Uomo;yes;2078
1694507462728;Fine riproduzione del testo: Le opzioni per la lista regione sono;;2159
1694507465058;Fine riproduzione del testo: Vuoi selezionare Abruzzo ?;;3313
1694507467137;Esecuzione comando no per non confermare il valore Abruzzo della select Abruzzo;no;2079
1694507469658;Fine riproduzione del testo: Vuoi selezionare Basilicata ?;;323
1694507471730;Esecuzione comando no per non confermare il valore Basilicata della select Basilicata;no;2072
1694507474085;Fine riproduzione del testo: Vuoi selezionare Calabria ?;;305
1694507476124;Esecuzione comando no per non confermare il valore Calabria della select Calabria;no;2039
1694507478389;Fine riproduzione del testo: Vuoi selezionare Campania ?;;145
1694507480425;Esecuzione comando no per non confermare il valore Campania della select Campania;no;2036
1694507483019;Fine riproduzione del testo: Vuoi selezionare Emilia Romagna ?;;181
1694507485061;Esecuzione comando no per non confermare il valore Emilia Romagna della select Emilia Romagna;no;2042
1694507488338;Fine riproduzione del testo: Vuoi selezionare Friuli Venezia Giulia ?;;280
1694507490393;Esecuzione comando no per non confermare il valore Friuli Venezia Giulia della select Friuli Venezia Giulia;no;2055
1694507492751;Fine riproduzione del testo: Vuoi selezionare Lazio ?;;398
1694507494793;Esecuzione comando no per non confermare il valore Lazio della select Lazio;no;2042
1694507497029;Fine riproduzione del testo: Vuoi selezionare Liguria ?;;242
1694507499184;Esecuzione comando no per non confermare il valore Liguria della select Liguria;no;2155
1694507501709;Fine riproduzione del testo: Vuoi selezionare Lombardia ?;;406
1694507503739;Esecuzione comando no per non confermare il valore Lombardia della select Lombardia;no;2030
1694507505896;Fine riproduzione del testo: Vuoi selezionare Marche ?;;220
1694507507961;Esecuzione comando no per non confermare il valore Marche della select Marche;no;2065
1694507510319;Fine riproduzione del testo: Vuoi selezionare Molise ?;;381
1694507512382;Esecuzione comando no per non confermare il valore Molise della select Molise;no;2063
1694507514618;Fine riproduzione del testo: Vuoi selezionare Piemonte ?;;159
1694507516636;Esecuzione comando no per non confermare il valore Piemonte della select Piemonte;no;2018
1694507518971;Fine riproduzione del testo: Vuoi selezionare Puglia ?;;396
1694507521017;Esecuzione comando no per non confermare il valore Puglia della select Puglia;no;2046
1694507523559;Fine riproduzione del testo: Vuoi selezionare Sardegna ?;;433
1694507525809;Esecuzione comando yes per confermare il valore Sardegna della select Sardegna;yes;2250
1694507531848;Fine riproduzione del testo: Le opzioni per la lista provincia sono;;3003
1694507534368;Fine riproduzione del testo: Vuoi selezionare Agrigento ?;;3378
1694507536450;Esecuzione comando no per non confermare il valore Agrigento della select Agrigento;no;2082
1694507538855;Fine riproduzione del testo: Vuoi selezionare Alessandria ?;;233
1694507541029;Esecuzione comando no per non confermare il valore Alessandria della select Alessandria;no;2174
1694507543369;Fine riproduzione del testo: Vuoi selezionare Ancona ?;;385
1694507545496;Esecuzione comando no per non confermare il valore Ancona della select Ancona;no;2127
1694507547726;Fine riproduzione del testo: Vuoi selezionare Aosta ?;;355
1694507549753;Esecuzione comando no per non confermare il valore Aosta della select Aosta;no;2027
